Obj.,Prop,= value,Reverse Name,Not Doing
'epworks.ep.cursor','clone','epworks.ep.cursor',,
'epworks.ep.cursor','cursor_def','epworks.ep.test.settings.cursor_def',,
'epworks.ep.cursor','parent','epworks.ep.triggered_waveform',,
'epworks.ep.freerun_waveform','parent','epworks.ep.trace',,x
'epworks.ep.freerun_waveform','set','epworks.ep.set',freerun_waveform,
'epworks.ep.freerun_waveform','trace','epworks.ep.trace',freerun_waveform,
'epworks.ep.group','baseline_set','epworks.ep.set',baseline_p,
'epworks.ep.group','group2','epworks.ep.test.settings.group_def',,
'epworks.ep.group','parent','epworks.ep.test',,x
'epworks.ep.group','raw_sweep_set','epworks.ep.set',raw_sweep_p,
'epworks.ep.group','test','epworks.ep.test',groups,
'epworks.ep.group','trigger_source','epworks.ep.test.settings.stims',,
'epworks.ep.set','group','epworks.ep.group',,
'epworks.ep.set','parent','epworks.ep.group',,
'epworks.ep.study','parent','epworks.ep.patient',,
'epworks.ep.test','parent','epworks.ep.study',,
'epworks.ep.test.settings','active_layout','epworks.ep.test.settings.element_layouts',,
'epworks.ep.test.settings.cursor_calc','from_def','epworks.ep.test.settings.cursor_def',,
'epworks.ep.test.settings.cursor_calc','to_def','epworks.ep.test.settings.cursor_def',,
'epworks.ep.test.settings.cursor_def','group','epworks.ep.test.settings.group_def',,
'epworks.ep.test.settings.cursor_def','trace','epworks.ep.test.settings.ichans',,
'epworks.ep.test.settings.cursor_def','trace','epworks.ep.test.settings.ochans',cursor_defs,
'epworks.ep.test.settings.group_def','timeline','epworks.ep.test.settings.stims',,
'epworks.ep.test.settings.group_def','timeline','epworks.ep.test.settings.timelines',,
'epworks.ep.test.settings.group_def','trigger_source','epworks.ep.test.settings.stims',,
'epworks.ep.test.settings.ichans','active_electrode','epworks.ep.test.settings.electrodes',,
'epworks.ep.test.settings.ichans','ref_electrode','epworks.ep.test.settings.electrodes',,
'epworks.ep.test.settings.ochans','group','epworks.ep.test.settings.group_def',,
'epworks.ep.test.settings.ochans','to','epworks.ep.test.settings.history_sets',,
'epworks.ep.test.settings.ochans','to','epworks.ep.test.settings.ichans',,
'epworks.ep.trace','active_waveform','epworks.ep.freerun_waveform',,
'epworks.ep.trace','group','epworks.ep.group',,
'epworks.ep.trace','ochan','epworks.ep.test.settings.ichans',,
'epworks.ep.trace','ochan','epworks.ep.test.settings.ochans',rec_file,
'epworks.ep.trace','parent','epworks.ep.group',,
'epworks.ep.trace','test','epworks.ep.test',traces,
'epworks.ep.triggered_waveform','clone','epworks.ep.triggered_waveform',,
'epworks.ep.triggered_waveform','parent','epworks.ep.trace',,x
'epworks.ep.triggered_waveform','set','epworks.ep.set',triggered_waveforms,
'epworks.ep.triggered_waveform','trace','epworks.ep.trace',triggered_waveforms,
'epworks.history.rec_file','ochan','epworks.ep.test.settings.ichans',,
'epworks.history.rec_file','ochan','epworks.ep.test.settings.ochans',rec_file,
'epworks.history.rec_file','trace','epworks.ep.trace',rec_file,
