Names,Length
EPTest.Data.Settings.ConfigData.{57CF9D5C-AC2F-11D3-A8CC-00105AA89390}ShowSplitGains',2
'EPFreerunWaveform.Data.Timestamp',8
'EPTest.Data.Settings.Timelines.000.StartWaiting',8
'EPTrace.Data.CreateTime',8
'EPTrace.Data.STLiveTimestamp',8
'EPTriggeredWaveform.Data.Timestamp',8
'EPCursor.Data.Clone',16
'EPCursor.Data.CursorDefId',16
'EPCursor.Id',16
'EPCursor.Parent',16
'EPFreerunWaveform.Data.SetObjId',16
'EPFreerunWaveform.Data.TraceObjId',16
'EPFreerunWaveform.Id',16
'EPFreerunWaveform.Parent',16
'EPGroup.Data.BaselineSetId',16
'EPGroup.Data.GroupId',16
'EPGroup.Data.RawSweepSetId',16
'EPGroup.Data.TestObjId',16
'EPGroup.Data.TriggerSource',16
'EPGroup.Id',16
'EPGroup.Parent',16
'EPPatient.Id',16
'EPPatient.Parent',16
'EPSet.Data.GroupObjId',16
'EPSet.Id',16
'EPSet.Parent',16
'EPStudy.Id',16
'EPStudy.Parent',16
'EPTest.Data.Settings.ActiveLayout',16
'EPTest.Data.Settings.CursorCalc.000.FromDef',16
'EPTest.Data.Settings.CursorCalc.000.ID',16
'EPTest.Data.Settings.CursorCalc.000.ToDef',16
'EPTest.Data.Settings.CursorDef.000.GroupDef',16
'EPTest.Data.Settings.CursorDef.000.ID',16
'EPTest.Data.Settings.CursorDef.000.TraceID',16
'EPTest.Data.Settings.Electrodes.000.ID',16
'EPTest.Data.Settings.ElementLayouts.000.ID',16
'EPTest.Data.Settings.GroupDef.000.ID',16
'EPTest.Data.Settings.GroupDef.000.MaacsGroupId',16
'EPTest.Data.Settings.GroupDef.000.TimelineID',16
'EPTest.Data.Settings.GroupDef.000.TriggerSource',16
'EPTest.Data.Settings.HistorySets.000.ID',16
'EPTest.Data.Settings.IChans.000.ActiveElectrode',16
'EPTest.Data.Settings.IChans.000.ID',16
'EPTest.Data.Settings.IChans.000.MontageChanId',16
'EPTest.Data.Settings.IChans.000.RefElectrode',16
'EPTest.Data.Settings.ID',16
'EPTest.Data.Settings.OChans.000.From',16
'EPTest.Data.Settings.OChans.000.GroupDef',16
'EPTest.Data.Settings.OChans.000.ID',16
'EPTest.Data.Settings.OChans.000.MaacsTraceId',16
'EPTest.Data.Settings.OChans.000.To',16
'EPTest.Data.Settings.Stims.000.ID',16
'EPTest.Data.Settings.Timelines.000.ID',16
'EPTest.Data.Settings.TrendSets.000.ID',16
'EPTest.Id',16
'EPTest.Parent',16
'EPTrace.Data.ActiveWaveformObjId',16
'EPTrace.Data.GroupObjId',16
'EPTrace.Data.OChanId',16
'EPTrace.Data.TestObjId',16
'EPTrace.Id',16
'EPTrace.Parent',16
'EPTriggeredWaveform.Data.Clone',16
'EPTriggeredWaveform.Data.SetObjId',16
'EPTriggeredWaveform.Data.TraceObjId',16
'EPTriggeredWaveform.Id',16
'EPTriggeredWaveform.Parent',16
EPStudy.Data.AcquisitionTimeZone',172
EPTest.Data.VersionInfo',176
EPTriggeredWaveform.Data.SourceData',2430
