Name,Example Data Length
'EPCursor.Children',4
'EPFreerunWaveform.Children',4
'EPFreerunWaveform.Data.UISettings',178
'EPGroup.Children',193
'EPPatient.Children',25
'EPSet.Children',4
'EPStudy.Children',67
'EPTest.Children',46
'EPTest.Data.Settings.EEG.AppliedMontageKeyTree.ChanNames',4
'EPTest.Data.Settings.EEG.AppliedMontageKeyTree.Channels',4
'EPTest.Data.Settings.EEG.AppliedMontageKeyTree.HalfMontageChannels',4
'EPTest.Data.Settings.EEG.AppliedMontageKeyTree.InputChannels',4
'EPTrace.Children',193
'EPTriggeredWaveform.Children',46
'EPTriggeredWaveform.Data.UISettings',147
