Unique Names,Length
'EPStudy.Data.LocalInitializationComplete',16
'EPTest.Data.Settings.Electrodes.000.EEGSiteGUID',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace0',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace1',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace10',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace11',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace12',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace13',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace14',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace15',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace16',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace17',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace2',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace3',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace4',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace5',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace6',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace7',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace8',16
'EPTest.Data.Settings.HistorySets.000.HistoryTrace9',16
'EPTest.Data.Settings.TrendSets.000.TrendCalc0',16
'EPTest.Data.Settings.TrendSets.000.TrendCalc1',16
